indicator_id,cartodb_id,iso,sub_nat_id,boundary,boundary_id,thresh,country,year,value,province,boundary_name,indicator_name,units
1,1013433,MEX,,ifl,28,10,Mexico,2011,403.1947521,,Intact Forest Landscape,Tree cover loss,hectares
1,1015298,MEX,,ifl,28,10,Mexico,2001,245.4949383,,Intact Forest Landscape,Tree cover loss,hectares
1,1015304,MEX,,ifl,28,10,Mexico,2002,86.77771984,,Intact Forest Landscape,Tree cover loss,hectares
1,1015310,MEX,,ifl,28,10,Mexico,2003,129.2827544,,Intact Forest Landscape,Tree cover loss,hectares
1,1015316,MEX,,ifl,28,10,Mexico,2004,297.525038,,Intact Forest Landscape,Tree cover loss,hectares
1,1015322,MEX,,ifl,28,10,Mexico,2005,110.05626,,Intact Forest Landscape,Tree cover loss,hectares
1,1015328,MEX,,ifl,28,10,Mexico,2006,189.439973,,Intact Forest Landscape,Tree cover loss,hectares
1,1015334,MEX,,ifl,28,10,Mexico,2007,278.4911723,,Intact Forest Landscape,Tree cover loss,hectares
1,1015340,MEX,,ifl,28,10,Mexico,2008,339.1638401,,Intact Forest Landscape,Tree cover loss,hectares
1,1015346,MEX,,ifl,28,10,Mexico,2009,558.5218116,,Intact Forest Landscape,Tree cover loss,hectares
1,1015352,MEX,,ifl,28,10,Mexico,2010,319.286817,,Intact Forest Landscape,Tree cover loss,hectares
1,1015363,MEX,,ifl,28,10,Mexico,2012,529.0120113,,Intact Forest Landscape,Tree cover loss,hectares
1,1015369,MEX,,ifl,28,10,Mexico,2013,1764.24641,,Intact Forest Landscape,Tree cover loss,hectares
1,1015375,MEX,,ifl,28,10,Mexico,2014,408.4296379,,Intact Forest Landscape,Tree cover loss,hectares
1,1015381,MEX,,ifl,28,10,Mexico,2015,518.9925411,,Intact Forest Landscape,Tree cover loss,hectares
1,1015387,MEX,,ifl,28,10,Mexico,2016,1218.222275,,Intact Forest Landscape,Tree cover loss,hectares
1,1015682,MEX,,ifl,28,30,Mexico,2002,86.70697705,,Intact Forest Landscape,Tree cover loss,hectares
1,1015688,MEX,,ifl,28,30,Mexico,2003,128.2225418,,Intact Forest Landscape,Tree cover loss,hectares
1,1015694,MEX,,ifl,28,30,Mexico,2004,297.0299183,,Intact Forest Landscape,Tree cover loss,hectares
1,1015700,MEX,,ifl,28,30,Mexico,2005,109.9148121,,Intact Forest Landscape,Tree cover loss,hectares
1,1015706,MEX,,ifl,28,30,Mexico,2006,189.3692056,,Intact Forest Landscape,Tree cover loss,hectares
1,1015712,MEX,,ifl,28,30,Mexico,2007,278.2789245,,Intact Forest Landscape,Tree cover loss,hectares
1,1015718,MEX,,ifl,28,30,Mexico,2008,339.1638401,,Intact Forest Landscape,Tree cover loss,hectares
1,1015724,MEX,,ifl,28,30,Mexico,2009,558.5218116,,Intact Forest Landscape,Tree cover loss,hectares
1,1015730,MEX,,ifl,28,30,Mexico,2010,318.4944384,,Intact Forest Landscape,Tree cover loss,hectares
1,1015736,MEX,,ifl,28,30,Mexico,2011,401.3566133,,Intact Forest Landscape,Tree cover loss,hectares
1,1015742,MEX,,ifl,28,30,Mexico,2012,526.3966385,,Intact Forest Landscape,Tree cover loss,hectares
1,1015748,MEX,,ifl,28,30,Mexico,2013,1761.914246,,Intact Forest Landscape,Tree cover loss,hectares
1,1015754,MEX,,ifl,28,30,Mexico,2014,408.2830948,,Intact Forest Landscape,Tree cover loss,hectares
1,1015760,MEX,,ifl,28,30,Mexico,2015,518.9925411,,Intact Forest Landscape,Tree cover loss,hectares
1,1015766,MEX,,ifl,28,30,Mexico,2016,1217.928708,,Intact Forest Landscape,Tree cover loss,hectares
2,965566,MEX,,pra,24,10,Mexico,2001,0.083361438,,Protected Areas,Tree cover loss percentage,%
2,965572,MEX,,pra,24,10,Mexico,2002,0.078047569,,Protected Areas,Tree cover loss percentage,%
2,965578,MEX,,pra,24,10,Mexico,2003,0.072385545,,Protected Areas,Tree cover loss percentage,%
2,965584,MEX,,pra,24,10,Mexico,2004,0.095081165,,Protected Areas,Tree cover loss percentage,%
2,965590,MEX,,pra,24,10,Mexico,2005,0.108409979,,Protected Areas,Tree cover loss percentage,%
2,965596,MEX,,pra,24,10,Mexico,2006,0.08146198,,Protected Areas,Tree cover loss percentage,%
2,965602,MEX,,pra,24,10,Mexico,2007,0.101688372,,Protected Areas,Tree cover loss percentage,%
2,965608,MEX,,pra,24,10,Mexico,2008,0.101377639,,Protected Areas,Tree cover loss percentage,%
2,965614,MEX,,pra,24,10,Mexico,2009,0.206404426,,Protected Areas,Tree cover loss percentage,%
